"Timestamp","What is your tag","What is your twitter handle","Which character do you main?","What is your self assessment of your skill","Your character vs Fox on Final Destination","Your character vs Fox on Battlefield","Your character vs Fox on Dreamland","Your character vs Fox on Fountain of Dreams","Your character vs Fox on Yoshi's Story ","Your character vs Fox on Pokemon Stadium","Your character vs Falco on Final Destination","Your character vs Falco on Battlefield","Your character vs Falco on Dreamland","Your character vs Falco on Fountain of Dreams","Your character vs Falco on Yoshi's Story","Your character vs Falco on Pokemon Stadium","Your character vs Puff on Final Destination","Your character vs Puff on Battlefield","Your character vs Puff on Dreamland","Your character vs Puff on Fountain of Dreams","Your character vs Puff on Yoshi's Story","Your character vs Puff on Pokemon Stadium","Your character vs Marth on Final Destination","Your character vs Marth on Battlefield","Your character vs Marth on Dreamland","Your character vs Marth on Fountain of Dreams","Your character vs Marth on Yoshi's Story","Your character vs Marth on Pokemon Stadium","Your character vs Sheik on Final Destination","Your character vs Sheik on Battlefield","Your character vs Sheik on Dreamland","Your character vs Sheik on Fountain of Dreams","Your character vs Sheik on Yoshi's Story","Your character vs Sheik on Pokemon Stadium","Your character vs Falcon on Final Destination","Your character vs Falcon on Battlefield","Your character vs Falcon on Dreamland","Your character vs Falcon on Fountain of Dreams","Your character vs Falcon on Yoshi's Story","Your character vs Falcon on Pokemon Stadium","Your character vs Peach on Final Destination","Your character vs Peach on Battlefield","Your character vs Peach on Dreamland","Your character vs Peach on Fountain of Dreams","Your character vs Peach on Yoshi's Story ","Your character vs Peach on Pokemon Stadium"
"2021/04/18 12:42:14 PM AST","Ambisinister","@ambisinister_","Fox","Strong Regional-Level Player","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","50-50","50-50","60-40","50-50","60-40","50-50","30-70","50-50","60-40","70-30","30-70","40-60","50-50","40-60","60-40","40-60","70-30","50-50","50-50","50-50","50-50","70-30","60-40","50-50","50-50","70-30","60-40","60-40","50-50","60-40","50-50","50-50","60-40","70-30"
"2021/04/18 12:47:18 PM AST","Nago","cisinasociety","Game and Watch","Tournament Regular","30-70","Worse than 30-70 (losing)","30-70","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","40-60","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","30-70","Worse than 30-70 (losing)","30-70","40-60","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","30-70","30-70","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","40-60","30-70","40-60","40-60","30-70","Worse than 30-70 (losing)","40-60","30-70","Worse than 30-70 (losing)","40-60","Worse than 30-70 (losing)","Worse than 30-70 (losing)"
"2021/04/18 12:49:32 PM AST","ESAM","imESAM","Samus","Top Player","30-70","40-60","40-60","50-50","50-50","40-60","50-50","50-50","40-60","50-50","30-70","40-60","40-60","50-50","30-70","40-60","40-60","40-60","40-60","50-50","60-40","50-50","40-60","40-60","30-70","30-70","30-70","40-60","40-60","30-70","30-70","40-60","30-70","40-60","40-60","30-70","40-60","50-50","30-70","40-60","40-60","40-60"
"2021/04/18 12:49:48 PM AST","Fleuron","icecoffeeeeeee","Falco","Average Skill","50-50","60-40","50-50","40-60","60-40","60-40","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","40-60","60-40","60-40","40-60","50-50","40-60","50-50","60-40","40-60","40-60","60-40","60-40","40-60","60-40","50-50","60-40","60-40","40-60","50-50","60-40","50-50","40-60","50-50","40-60","60-40","60-40","60-40"
"2021/04/18 12:49:54 PM AST","Rich","@RichSSBM","Fox","","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","50-50","50-50","60-40","40-60","60-40","50-50","40-60","50-50","50-50","60-40","40-60","50-50","60-40","50-50","50-50","50-50","60-40","40-60","50-50","50-50","60-40","60-40","60-40","50-50","50-50","60-40","60-40","40-60","40-60","50-50","60-40","40-60","60-40","60-40"
"2021/04/18 12:50:15 PM AST","Setchi","SetchiSSBM","Falcon","Top Player","40-60","50-50","50-50","40-60","40-60","50-50","40-60","50-50","50-50","40-60","40-60","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","50-50","50-50","50-50","50-50","40-60","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","60-40","50-50","60-40","60-40"
"2021/04/18 12:51:59 PM AST","please add 55-45","","Puff","Average Skill","30-70","40-60","50-50","50-50","40-60","40-60","40-60","50-50","50-50","50-50","40-60","40-60","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","60-40","50-50","40-60","50-50","60-40","50-50","60-40","50-50","40-60","60-40","50-50","50-50","60-40","60-40","40-60","40-60","60-40","60-40","60-40","60-40","60-40","50-50"
"2021/04/18 12:52:40 PM AST","Chape","Chape_ssb","Fox","Strong Regional-Level Player","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","60-40","50-50","50-50","50-50","60-40","50-50","40-60","50-50","60-40","60-40","30-70","40-60","50-50","50-50","60-40","40-60","70-30","50-50","50-50","50-50","50-50","70-30","Better than 70-30 (winning)","60-40","50-50","60-40","60-40","50-50","40-60","60-40","60-40","50-50","60-40","70-30"
"2021/04/18 12:53:31 PM AST","RSQ","","Ganondorf","Average Skill","30-70","40-60","Worse than 30-70 (losing)","30-70","40-60","30-70","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","30-70","30-70","30-70","30-70","Worse than 30-70 (losing)","40-60","40-60","30-70","40-60","40-60","30-70","50-50","40-60","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","30-70","40-60","Worse than 30-70 (losing)","40-60","40-60","30-70","30-70","50-50","40-60"
"2021/04/18 12:53:35 PM AST","Kankato","@KankatoRYM","Samus","Average Skill","50-50","50-50","60-40","60-40","40-60","50-50","40-60","50-50","60-40","60-40","40-60","50-50","40-60","30-70","Worse than 30-70 (losing)","30-70","30-70","40-60","40-60","50-50","60-40","60-40","50-50","50-50","30-70","30-70","40-60","40-60","30-70","30-70","30-70","30-70","30-70","30-70","30-70","30-70","50-50","50-50","50-50","60-40","60-40","50-50"
